Lesson ID,Level,English Title,Field,Kannada Text
0,level0,Mindset and Tips for Learning English,kannadaTitle,ಇಂಗ್ಲಿಷ್ ಕಲಿಯಲು ಮನೋವೃತ್ತಿ ಮತ್ತು ಸೂಚನೆಗಳು
0,level0,Mindset and Tips for Learning English,kannadaExplanation,ಇಂಗ್ಲಿಷ್ ಕಲಿಯುವಲ್ಲಿ ಯಶಸ್ಸು ಸರಿಯಾದ ಮನೋವೃತ್ತಿ ಮತ್ತು ನಿರಂತರ ಅಭ್ಯಾಸದಿಂದ ಆರಂಭವಾಗುತ್ತದೆ.
1,level0,English Alphabet,kannadaTitle,ಇಂಗ್ಲಿಷ್ ವರ್ಣಮಾಲೆ
1,level0,English Alphabet,kannadaExplanation,ಇಂಗ್ಲಿಷ್‌ನಲ್ಲಿ 26 ಅಕ್ಷರಗಳಿವೆ. ಅವುಗಳನ್ನು ಒಂದೊಂದಾಗಿ ಕಲಿಯೋಣ.
2,level0,Vowels and Consonants,kannadaTitle,ಸ್ವರಗಳು ಮತ್ತು ವ್ಯಂಜನಗಳು
2,level0,Vowels and Consonants,kannadaExplanation,"ಸ್ವರಗಳು A, E, I, O, U. ಉಳಿದ ಎಲ್ಲಾ ಅಕ್ಷರಗಳು ವ್ಯಂಜನಗಳು."
3,level0,Letter Sounds,kannadaTitle,ಅಕ್ಷರ ಧ್ವನಿಗಳು
3,level0,Letter Sounds,kannadaExplanation,"ಪ್ರತಿ ಅಕ್ಷರಕ್ಕೆ ಒಂದು ಧ್ವನಿ ಇದೆ. ಹೆಸರನ್ನು ಮಾತ್ರ ಅಲ್ಲ, ಧ್ವನಿಯನ್ನು ಕಲಿಯಿರಿ."
4,level0,Reading Small Words,kannadaTitle,ಸಣ್ಣ ಪದಗಳನ್ನು ಓದುವುದು
4,level0,Reading Small Words,kannadaExplanation,ಅಕ್ಷರ ಧ್ವನಿಗಳನ್ನು ಸೇರಿಸಿ ಸಣ್ಣ ಪದಗಳನ್ನು ಓದಿ.
5,level0,Spelling Your Name,kannadaTitle,ನಿಮ್ಮ ಹೆಸರನ್ನು ಕಾಗುಣಿತ ಮಾಡುವುದು
5,level0,Spelling Your Name,kannadaExplanation,ನಿಮ್ಮ ಹೆಸರನ್ನು ಇಂಗ್ಲಿಷ್ ಅಕ್ಷರಗಳಲ್ಲಿ ಕಾಗುಣಿತ ಮಾಡಲು ಕಲಿಯಿರಿ.
6,level0,Common Letter Combinations,kannadaTitle,ಸಾಮಾನ್ಯ ಅಕ್ಷರ ಸಂಯೋಜನೆಗಳು
6,level0,Common Letter Combinations,kannadaExplanation,ಕೆಲವು ಅಕ್ಷರಗಳು ಒಟ್ಟಿಗೆ ವಿಶೇಷ ಧ್ವನಿಗಳನ್ನು ಉಂಟುಮಾಡುತ್ತವೆ.
7,level0,Reading Practice,kannadaTitle,ಓದುವ ಅಭ್ಯಾಸ
7,level0,Reading Practice,kannadaExplanation,ಸರಳ ವಾಕ್ಯಗಳನ್ನು ಜೋರಾಗಿ ಓದಿ.
8,level0,Dictation Practice,kannadaTitle,ಅನುಲೇಖನ ಅಭ್ಯಾಸ
8,level0,Dictation Practice,kannadaExplanation,ಕೇಳಿ ಪದಗಳನ್ನು ಬರೆಯಿರಿ.
